job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Development', 'AI', 'Security', 'Software', 'Software Development', 'AI.', 'Computer Science', 'Information Technology (IT)', 'English'"
AI & Social Media Expert - CPM,Full Time,Etisalat Misr,"Cairo, Egypt",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Marketing/PR/Advertising', 'Engineering - Telecom/Technology'","'CRM', 'SEO', 'communications', 'Social Media', 'Engineering', 'Digital Marketing', 'Computer Science', 'Marketing', 'English'"
AI Software Engineer (Computer Vision Operation Engineer),Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Job is Remotely from our Office in Egypt'","'Operations/Management', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Frameworks', 'Kubernetes', 'Software Development', 'Software Engineering', 'Linux', 'Docker', 'Artificial Intelligence (AI)', 'Computer Science', 'AI Framework', 'DevOps', 'Information Technology (IT)'"
AI/BI Intern,Internship,Easy System,"Cairo, Egypt",'Not Specified','Entry Level (Junior Level / Fresh Grad)','Not Specified','paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Artificial Intelligence', 'Cloud', 'Computer Science', 'Azure', 'Information Technology (IT)', 'BI'"
Embedded Software Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working remotely with Abu Dhabi HQ'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Embedded System', 'Development', 'Software Development', 'Software Engineering', 'Linux', 'Engineering', 'Artificial Intelligence (AI)', 'Programming', 'Computer Science', 'Information Technology (IT)'"
Coding Coach,Part Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'"
Unity Instructor,Full Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'"
Computer Science/Coach,Full Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'"
Computer Science Coach - Part Time,Part Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'"
Coding Content Developer,Full Time,iSchool,"Nasr City, Cairo",'1 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Writing/Editorial', 'IT/Software Development', 'Education/Teaching'","'Object Oriented Programming', 'Research', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'Game', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'Curriculum Development', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'"
Chat-bot Developer,Full Time,Hakaya,"Riyadh, Saudi Arabia",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Python', 'Software Development', 'Software Engineering', 'chatbot', 'NLTK', 'Computer Science', 'Information Technology (IT)', 'REST', 'JSON', 'English'"
chat-bot Developer - India,Full Time,Hakaya,"New Delhi, India",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Python', 'Software Development', 'chatbot', 'Computer Science', 'Information Technology (IT)', 'REST', 'English'"
Cloud Security Engineer,Full Time,Softec Technologies,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Python', 'Security', 'Software', 'Software Development', 'Linux', 'Azure', 'Engineering', 'Cloud', 'Computer Science', 'Information Technology (IT)'"
C++ Software Engineer,Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Information Technology (IT)', 'Git', 'Qt', 'APIs', 'C', 'CUDA', 'Software Development', 'Software Engineering', 'qml', 'Programming', 'Computer Science', 'Software engineer', 'GPU Programming', 'Mathematics', 'Algorithms', 'C++'"
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Research', 'Data Science', 'Statistics', 'SQL', 'ETL', 'Mathematics', 'Machine Learning', 'Software Engineering', 'Cloud', 'Computer Science', 'Deep Learning', 'Science', 'Engineering', 'Artificial Intelligence (AI)', 'Deep Learning Framework', 'Hadoop', 'Data Wrangling', 'Deep Neural Network (DNN)', 'Information Technology (IT)', 'mathematical'"
Senior Machine Learning Engineer - Giza,Full Time,AFKAR Technology,"Giza, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Training', 'Machine Learning', 'Python', 'TensorFlow', 'Statistics', 'SQL', 'NLP', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Computer Vision'"
Outdoor Technical Sales Engineer,Full Time,ManEx Systems,"6th of October, Giza",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Commission, Transportation and Bonus are included'","'Engineering - Mechanical/Electrical', 'Sales/Retail'","'Sales Engineering', 'Sales', 'Outdoor Sales', 'Mechatronics', 'Electrical', 'Technical Sales'"
Junior Backend Engineer,Full Time,LxT,"Mohandessin, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Flask', 'Django', 'Python', 'Amazon Web Services', 'NoSQL', 'Agile', 'GCP', 'Software Engineering', 'Containerization', 'Programming', 'Azure'"
C++ Software Engineer - Computer Vision,Internship,360Imaging,"Dokki, Giza",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'Computer Engineering', 'Git', 'C', 'CUDA', 'Linear Algebra', 'Software Development', 'hpc', 'Software Engineering', 'Matlab', 'Artificial Intelligence (AI)', 'Computer Science', 'Information Technology (IT)', 'Computer Vision', 'Mathematics', 'C++'"
C++ Computer Graphics Engineer,Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art'","'HLSL', 'GLSL', 'CUDA', 'Software Development', 'vulkan', 'Mathematics', 'Algorithms', 'directx', 'Computer Science', 'Computer Engineering', 'Git', 'APIs', 'OpenCL', 'OpenGL', 'DirectX11', 'Engineering', 'Programming', 'GPU Programming', 'C++', 'C', 'API', 'Information Technology (IT)'"
Backend Senior Software Engineer,Full Time,Gemssy Technologies S.L.,"Bilbao, Spain",'5 to 20 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'35000 to 70000 EUR Per Year',"'IT/Software Development', 'Engineering - Telecom/Technology'","'NodeJS', 'Integration', 'Ruby on Rails', 'Node.js', 'Agile', 'Software', 'English', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)', 'Back-End Development', 'Web Applications'"
C++ Software Engineering Intern,Internship,Atomica,"Cairo, Egypt",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'CUDA', 'Linear Algebra', 'Software Development', 'vulkan', 'Mathematics', 'Algorithms', 'Computational Geometry', 'Software Engineering', 'qml', 'Computer Science', 'Git', 'Qt', 'APIs', 'OpenGL', 'Algorithm Development', 'Programming', 'GPU Programming', 'C++', 'C', 'API', 'Information Technology (IT)'"
Robotics Engineer Instructor (For Kids),Full Time,Edu-Zone,"New Cairo, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'4000 to 5000 EGP Per Month',"'Training/Instructor', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Skills', 'STEAM', 'English', 'Mechatronics Engineering', 'Electronics Engineering', 'Art', 'Education', 'Robotics', 'Mechatronics', 'Physics', 'Biology', 'Science', 'Network Security', 'Engineering', 'Communication Engineering', 'Programming', 'Communications Engineering', 'Mechanical Engineering', 'Kids Teaching', 'Teaching', 'Arduino', 'Astronomy'"
