job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Data Analyst,Full Time,Arma Foods ,"New Cairo, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"'IT', 'Analysis', 'Reporting', 'Data Analysis', 'Computer Science', 'Information Technology (IT)', 'Power BI'"
Senior Data Analyst PC Retail,Full Time,Allianz,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Analysis', 'Data Analysis', 'Insurance', 'Retail', 'Information Technology (IT)'"
Data Analyst,Full Time,Aman Holding,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Analysis', 'Data Analysis', 'Data', 'Analyze', 'Data Analytics', 'English'"
Data Analyst,Full Time,Dough and More Food Industries,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'Relational Databases', 'Analysis', 'Data Analysis', 'Data Analyst', 'Software', 'Computer Science', 'Data', 'Analyst'"
Repair Order Specialist (Data Analyst),Full Time,OPPO Egypt ,"Nasr City, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',"'Analyst/Research', 'Customer Service/Support', 'Marketing/PR/Advertising'"
Data Analyst,Full Time,B.TECH,"Nasr City, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Analyst/Research'","'Analysis', 'business', 'Data Analysis', 'Tableau', 'SQL', 'Economics', 'Computer Science', 'Power BI'"
Senior Digital Data Analyst,Full Time,Jazeera Paints,"10th of Ramadan City, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Transportation , Social Insurance ,Medical Insurance'","'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'analytical', 'Google Analytics', 'Information Technology (IT)', 'Analysis', 'Marketing', 'business', 'Data Analysis', 'English', 'Microsoft Office', 'Computer Science', 'Data', 'Analyst'"
Senior Market Research Analyst,Full Time,Gap Polymers ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social & medical insurance'","'Analyst/Research', 'Marketing/PR/Advertising', 'Business Development'","'E-Marketing', 'Sales', 'Communication', 'Information Technology', 'Data Entry', 'Collection', 'Market Research', 'Social Media', 'Data Collection', 'Marketing', 'Data'"
Sales Analyst,Full Time,Sun Pharma,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'MS Office', 'Sales', 'Analysis', 'Research', 'sales skills', 'Data Analysis', 'excel', 'Data', 'Sales Analysis'"
Senior Business Analyst,Full Time,BI-Technologies,"New Cairo, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Profit Share, Transportation, Medical Insurance, Social Insurance, Life Insurance And Retirement Plan'","'Analyst/Research', 'IT/Software Development'","'Communication skills', 'Business Analysis', 'IT', 'Business Development', 'Project Management', 'business', 'Data', 'Computer Science', 'Information Technology (IT)', 'Management'"
