job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Senior Big Data Engineers,Full Time,BBI-Consultancy,"Abu Dhabi, United Arab Emirates",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Banking'","'Data Science', 'Kafka', 'Spark', 'Big Data', 'Python'"
Senior Data Engineer,Full Time,Andela,"Cairo, Egypt",'2 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Software', 'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'Data Warehouse', 'Data Science', 'Data', 'Science', 'Elasticsearch', 'EC2', 'technical', 'Engineering', 'TO', 'Software Development'"
Big Data Engineer,Full Time,Worex,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'9000 to 15000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Kafka', 'Data', 'Spark', 'NoSQL', 'Big Data', 'Hadoop', 'Engineering', 'Management'"
Data Center Engineer,Full Time,Perfect Presentation,"6th of October, Giza",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Vmware', 'Storage', 'Troubleshooting', 'Engineering', 'Computer Engineering'"
Senior Big Data Engineer - Cairo,Full Time,Confidential Company - ,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, We offer the highest competitive salaries in the market-Health Insurance (Medright) elite-Social Insurance-fixed Internet allowance- Additional Health Package Allowance - Mobile Allowance, Promotions.'","'Engineering - Telecom/Technology', 'IT/Software Development'","'Software', 'Computer Science', 'Information Technology (IT)', 'Cloud', 'Programming', 'Software Engineering', 'Agile', 'Big Data', 'Troubleshooting', 'Engineering', 'Python', 'Software Development'"
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Cloud', 'Programming', 'AWS', 'Scala', 'Java', 'Data', 'Hadoop', 'Engineering', 'Computer Engineering', 'Design'"
Data Engineer,Full Time,Ashtar.app,"Maadi, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'BI', 'SQL', 'Data Science', 'Data', 'ETL', 'Data Analysis', 'Big Data', 'Engineering', 'Python', 'Computer Engineering', 'Analysis', 'Software Development'"
Data Engineer,Full Time,SSC Egypt,"Giza, Egypt",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'BI', 'Information Technology (IT)', 'Databricks', 'SQL', 'Data', 'Power BI', 'NoSQL', 'Azure', 'Engineering', 'Python', 'Computer Engineering'"
Network Data Center Engineer,Full Time,BBI-Consultancy,"Smart Village, Giza",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Telecom', 'Information Technology (IT)', 'CCNA', 'IP', 'CCNP', 'ITIL'"
Data Center Maintenance Engineer - Cairo,Full Time,Click ITS,"Nasr City, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Engineering - Telecom/Technology'","'Maintenance', 'Computer Science', 'Information Technology (IT)', 'Data center', 'Computer Engineering', 'Mechanical'"
Data Scientist,Full Time,Fixed Solutions,"Sheraton, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Programming', 'Software Engineering', 'Java', 'SQL', 'Data Science', 'data scientist', 'Statistics', 'Data Mining', 'Machine Learning', 'Engineering', 'Python', 'Analysis'"
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'AWS', 'Java', 'SQL', 'Data Science', 'Statistics', 'Data', 'Engineering', 'Python', 'Machine Learning', 'data scientist', 'Hadoop'"
Data Migration Architect,Full Time,Grafene Consulting,"Cairo, Egypt",'12 to 14 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Strategy/Consulting', 'Engineering - Other'","'ERP', 'Computer Science', 'Information Technology (IT)', 'Integration', 'Data', 'Data Migration', 'ETL', 'Architect', 'Oracle', 'Computer Engineering', 'Oracle DB'"
Data Engineer,Full Time,Z2 Data,"Banha, Qalubia",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Engineering - Mechanical/Electrical'","'Computer Science', 'Electrical', 'Information Technology (IT)', 'Data', 'Data Management', 'Engineering', 'Computer Engineering', 'Analysis'"
Data Quality Assurance Analyst Engineer,Full Time,Z2 Data,"Banha, Qalubia",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Programming', 'SQL', 'Science', 'Data Analysis', 'Communication skills', 'Quality Control', 'Engineering', 'Python', 'Quality Assurance', 'Analysis', 'Communication'"
Data Management Administrator,Full Time,Xceed,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Profit Share'","'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Oracle Financial', 'Network Configuration', 'Programming', 'English', 'Storage Backup', 'SQL', 'VMWARE', 'Storage', 'Application Development', 'Computer Engineering', 'LINUX'"
Big Data Consultant,Full Time,Fingerprint consultancy,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social Insurance / Medical Insurance'","'Engineering - Telecom/Technology', 'Engineering - Other', 'IT/Software Development'","'Computer Science', 'Programming', 'Information Technology (IT)', 'Hive', 'Java', 'Spark', 'ETL', 'Engineering', 'NoSQL', 'Big Data', 'Apache Spark', 'Hadoop', 'Python', 'Computer Engineering'"
