job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Data Scientist,Full Time,Fixed Solutions,"Sheraton, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Programming', 'Software Engineering', 'Java', 'SQL', 'Data Science', 'data scientist', 'Statistics', 'Data Mining', 'Machine Learning', 'Engineering', 'Python', 'Analysis'"
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'AWS', 'Java', 'SQL', 'Data Science', 'Statistics', 'Data', 'Engineering', 'Python', 'Machine Learning', 'data scientist', 'Hadoop'"
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Cloud', 'R', 'Mathematics', 'Machine Learning', 'data scientist', 'Python', 'Software Development'"
Data Scientist,Full Time,Mobica,"Giza, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Business Intelligence', 'SQL', 'Data Science', 'Data', 'SAP', 'Python', 'Microsoft Office'"
Data Scientist,Full Time,Chefaa IT,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Business Intelligence', 'SQL', 'data scientist', 'Data Science', 'Data', 'Statistics', 'Hadoop', 'Engineering', 'Python', 'Math'"
Data Scientist - For USA (Remotely),Full Time,Mobile Wave 3,"Cairo, Egypt",'10 to 17 years','Manager ',"""Master's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Data Science', 'Analytics', 'Data', 'Business Analytics', 'applied statistics', 'Machine Learning', 'Engineering', 'Clustering', 'Analysis', 'Matlab', 'security data'"
Senior Data Scientist,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Analytics', 'Data', 'Software Engineering', 'Information Technology (IT)'"
Staff Data Scientist,Full Time,Nana,"Sheraton, Cairo",'5 to 8 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'Data', 'Development', 'Machine Learning', 'data scientist', 'Software Development'"
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Cloud', 'Statistics', 'ETL', 'Data Wrangling', 'Engineering', 'Software Engineering', 'SQL', 'Deep Neural Network (DNN)', 'Machine Learning', 'Deep Learning Framework', 'Artificial Intelligence (AI)', 'Information Technology (IT)', 'Research', 'Hadoop', 'Deep Learning', 'Computer Science', 'mathematical', 'Data Science', 'Science', 'Mathematics', 'Python'"
Power BI Developer,Full Time,BI-Technologies,"New Cairo, Cairo",'1 to 5 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Medical Insurance, Social Insurance, Life Insurance, Retirement Plan Transportation and Profit Share'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'SSIS', 'BI', 'Information Technology (IT)', 'Telecom', 'SQL', 'Data Warehouse', 'Data Science', 'SSRS', 'Data Scientist', 'Power BI', 'Microsoft Power BI', 'Oracle', 'Engineering', 'BI Developer'"
Senior Big Data Engineers,Full Time,BBI-Consultancy,"Abu Dhabi, United Arab Emirates",'7 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Banking'","'Data Science', 'Kafka', 'Spark', 'Big Data', 'Python'"
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Analyst/Research'","'Computer Science', 'Information Technology (IT)', 'Cloud', 'Programming', 'AWS', 'Scala', 'Java', 'Data', 'Hadoop', 'Engineering', 'Computer Engineering', 'Design'"
Power BI Developer,Part Time,Kick Start Interactive,"Dokki, Giza",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'BI', 'Information Technology (IT)', 'SQL', 'Data Warehouse', 'SSRS', 'Power BI', 'Microsoft Power BI', 'Oracle', 'Engineering', 'Design', 'SSIS'"
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Software', 'Computer Science', 'English', 'Information Technology (IT)', 'AI', 'Development', 'Communication skills', 'AI.', 'Security', 'Software Development'"
Senior Front-End Developer (Angular),Full Time,Lines Dev,"Mansoura, Dakahlia",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','IT/Software Development',"'Angular', 'Information Technology (IT)', 'front-end', 'Software Development'"
Senior Back End Developer,Full Time,BlinkApp,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, + Competitive Package + Social Insurance + Friendly Working Environment'","'Engineering - Telecom/Technology', 'IT/Software Development', 'Creative/Design/Art'","'JavaScript', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Agile', '.Net', 'ASP.Net', 'Engineering', 'APIs', 'Angular', 'Software Development'"
Mean Stack Developer,Full Time,Advansys ESC,"Nasr City, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'JavaScript', 'Computer Science', 'MongoDB', 'Git', 'Information Technology (IT)', 'HTML', 'SQL', 'Web Development', 'Agile', 'jQuery', 'Angular', 'Software Development'"
Full Stack Web Developer,Full Time,Confidential Company - ,"6th of October, Giza",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'JavaScript', 'Computer Science', 'Information Technology (IT)', 'HTML', 'Dynamics', 'Engineering', 'Microsoft', 'CSS', 'Software Development'"
Senior Machine Learning Engineer,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'Data', 'Machine Learning', 'Deep Learning'"
.Net Full Stack Developer,Full Time,Nile University,"6th of October, Giza",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Computer Science', 'Git', 'Information Technology (IT)', 'SQL', 'MVC', 'Web Development', 'HTML5', 'javaScript', '.NET', 'jQuery', 'Engineering', 'C#', 'Angular', 'Software Development'"
