job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools,Job
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Development', 'AI', 'Security', 'Software', 'Software Development', 'AI.', 'Computer Science', 'Information Technology (IT)', 'English'",AI Engineer
AI & Social Media Expert - CPM,Full Time,Etisalat Misr,"Cairo, Egypt",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Marketing/PR/Advertising', 'Engineering - Telecom/Technology'","'CRM', 'SEO', 'communications', 'Social Media', 'Engineering', 'Digital Marketing', 'Computer Science', 'Marketing', 'English'",AI Engineer
AI Software Engineer (Computer Vision Operation Engineer),Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Job is Remotely from our Office in Egypt'","'Operations/Management', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Frameworks', 'Kubernetes', 'Software Development', 'Software Engineering', 'Linux', 'Docker', 'Artificial Intelligence (AI)', 'Computer Science', 'AI Framework', 'DevOps', 'Information Technology (IT)'",AI Engineer
AI/BI Intern,Internship,Easy System,"Cairo, Egypt",'Not Specified','Entry Level (Junior Level / Fresh Grad)','Not Specified','paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Artificial Intelligence', 'Cloud', 'Computer Science', 'Azure', 'Information Technology (IT)', 'BI'",AI Engineer
Embedded Software Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working remotely with Abu Dhabi HQ'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Embedded System', 'Development', 'Software Development', 'Software Engineering', 'Linux', 'Engineering', 'Artificial Intelligence (AI)', 'Programming', 'Computer Science', 'Information Technology (IT)'",AI Engineer
Coding Coach,Part Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'",AI Engineer
Unity Instructor,Full Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'",AI Engineer
Computer Science/Coach,Full Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'",AI Engineer
Computer Science Coach - Part Time,Part Time,iSchool,"Nasr City, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'Education/Teaching', 'IT/Software Development'","'Object Oriented Programming', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'",AI Engineer
Coding Content Developer,Full Time,iSchool,"Nasr City, Cairo",'1 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Writing/Editorial', 'IT/Software Development', 'Education/Teaching'","'Object Oriented Programming', 'Research', 'Andriod programming', 'Computer Programs', 'Program Development', 'c#', 'Software Development', 'Computer Skills', 'PHP Web Programming', 'STEAM', 'Coding Coach', 'Web Development', 'flutter', 'c', 'Education', 'Programming Language', 'Mobile Application Development', 'WordPress', 'Mobile Development', 'Software Engineering', 'Game design', 'Computer Science', 'Java', 'Coding', 'PHP Programming', 'Paython', 'Computer Engineering', 'Steam', 'Game engine', 'Game', 'JavaScript', 'Artificial Intelligence (AI)', 'Programming', 'coding-sensei', 'Scratch', 'Microsoft Programs', 'STEM', 'Computer Systems', 'C++', 'Mobile app', 'Curriculum Development', 'HTML', 'Stem', 'Ed-tech', 'Teaching', 'Programming Instructor', 'augmented reality', 'Web Technologies', 'Game development', 'Technology', 'Information Technology (IT)'",AI Engineer
