job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
NLP Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working remotely with us'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Python', 'Data Science', 'NLP', 'TensorFlow', 'NumPy', 'ML'"
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Research', 'Data Science', 'Statistics', 'SQL', 'ETL', 'Mathematics', 'Machine Learning', 'Software Engineering', 'Cloud', 'Computer Science', 'Deep Learning', 'Science', 'Engineering', 'Artificial Intelligence (AI)', 'Deep Learning Framework', 'Hadoop', 'Data Wrangling', 'Deep Neural Network (DNN)', 'Information Technology (IT)', 'mathematical'"
Algorithm Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working Remotely'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Design', 'Python', 'Git', 'CUDA', 'C', 'Software', 'Software Engineering', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Algorithms', 'C++'"
Machine Learning Intern,Internship,Talents Arena,"Smart Village, Giza",'Not Specified','Student (Undergrad / Postgrad)',"""Bachelor's Degree""",'paid',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Python', 'Research', 'Software', 'technical', 'Spark', 'computer', 'Computer Science', 'Information Technology (IT)', 'ML', 'Algorithms'"
Senior Machine Learning Engineer - Giza,Full Time,AFKAR Technology,"Giza, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Training', 'Machine Learning', 'Python', 'TensorFlow', 'Statistics', 'SQL', 'NLP', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Computer Vision'"
QA Engineer,Full Time,34ML,"Heliopolis, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bonus, overtime compensation, social insurance, medical insurance and salary raise'","'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'UI', 'QC', 'Software Development', 'Usability Testing', 'Software Testing', 'AngularJS', 'English', 'Test-driven Development', 'User Testing', 'Web Development', 'PHP', 'Mobile Development', 'International Software Testing Qualifications Board', 'Computer Science', 'Unit Testing', 'Automation Testing', 'QA', 'Quality Assurance', 'Mobile Testing', 'Engineering', 'Quality Control', 'Software Quality Assurance (SQA)', 'Test Cases', 'Automation', 'Testing', 'Information Technology (IT)'"
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Development', 'AI', 'Security', 'Software', 'Software Development', 'AI.', 'Computer Science', 'Information Technology (IT)', 'English'"
Senior DevOps Engineer,Full Time,Tech SquAd,"6th of October, Giza",'4 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Paas', 'Git', 'AWS', 'Kubernetes', 'Software Development', 'Automation', 'Azure', 'Engineering', 'Docker', 'Computer Science', 'Information Technology (IT)', 'Jenkins', 'DevOps'"
Machine Learning Operations Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Machine Learning', 'Python', 'TensorFlow', 'Software Engineering', 'Engineering', 'Design', 'Information Technology (IT)', 'Computer Vision', 'C++'"
AI Software Engineer (Computer Vision Operation Engineer),Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Job is Remotely from our Office in Egypt'","'Operations/Management', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Frameworks', 'Kubernetes', 'Software Development', 'Software Engineering', 'Linux', 'Docker', 'Artificial Intelligence (AI)', 'Computer Science', 'AI Framework', 'DevOps', 'Information Technology (IT)'"
Junior iOS Mobile Developer,Full Time,34ML,"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Hybrid Work Mode, Overtime Compensation, Social Insurance, Medical Insurance & Salary Raise'","'IT/Software Development', 'Engineering - Telecom/Technology'","'iOS', 'MVC', 'Swift', 'Development', 'Mobile Applications', 'iOS Development', 'APIs', 'Objective-C', 'Mobile Development', 'Software Development', 'Software Engineering', 'Engineering', 'Programming', 'Computer Science', 'Information Technology (IT)', 'REST', 'OOP'"
Full Stack Technical Lead,Full Time,RDI,"Dokki, Giza",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Flask', 'Django', 'Python', 'Angular', 'Full Stack Development', 'JavaScript', 'Spring Boot'"
Machine Learning Interns,Internship,Corporatica,"Cairo, Egypt",'Not Specified','Student (Undergrad / Postgrad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Keras', 'Machine Learning', 'Python', 'Git', 'AWS', 'TensorFlow', 'Statistics', 'Linux', 'Docker', 'Computer Science', 'Amazon AWS', 'OpenCV', 'Algorithms', 'Information Technology (IT)'"
Vue.Js Front-End Developer,Full Time,34ML,"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Hybrid Work Mode, Overtime Compensation, Social Insurance, Medical Insurance & Salary Raise'","'IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art'","'Vue', 'FrontEnd', 'LESS', 'UI', 'Software Development', 'AngularJS', 'CSS', 'Web Development', 'PHP', 'Objective-C', 'Mobile Development', 'Troubleshooting', 'Web Design', 'Computer Science', 'HTML5', 'Adobe Photoshop', 'JavaScript', 'Engineering', 'REST', 'Frameworks', 'Software Design', 'JQuery', 'Information Technology (IT)'"
Computer Vision Tech Lead,Full Time,Beyond Apps Group,"Nasr City, Cairo",'4 to 10 years','Experienced (Non-Manager)','Not Specified','Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Information Technology (IT)', 'Software', 'Software Development'"
Staff Data Scientist,Full Time,Nana,"Sheraton, Cairo",'5 to 8 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'data scientist', 'Development', 'Data', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)'"
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'R', 'Machine Learning', 'data scientist', 'Python', 'Software Development', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Mathematics'"
